,subject,dataset,no_face_frames,multi_face_frames,mark
0,40,UBFC-rPPG,0,0,-1
1,20,UBFC-rPPG,0,0,-1
2,38,UBFC-rPPG,0,0,-1
3,25,UBFC-rPPG,0,0,-1
4,13,UBFC-rPPG,0,0,-1
5,42,UBFC-rPPG,0,0,-1
6,41,UBFC-rPPG,0,0,-1
7,31,UBFC-rPPG,0,0,-1
8,23,UBFC-rPPG,0,1,-1
9,47,UBFC-rPPG,0,1,-1
10,39,UBFC-rPPG,0,2,-1
11,35,UBFC-rPPG,0,3,-1
12,15,UBFC-rPPG,0,3,-1
13,9,UBFC-rPPG,0,3,-1
14,45,UBFC-rPPG,0,3,-1
15,4,UBFC-rPPG,0,3,-1
16,5,UBFC-rPPG,0,4,-1
17,44,UBFC-rPPG,0,4,-1
18,11,UBFC-rPPG,0,5,-1
19,1,UBFC-rPPG,0,5,-1
20,30,UBFC-rPPG,0,6,-1
21,17,UBFC-rPPG,0,6,-1
22,14,UBFC-rPPG,0,6,-1
23,24,UBFC-rPPG,0,6,-1
24,36,UBFC-rPPG,0,6,-1
25,8,UBFC-rPPG,0,6,-1
26,34,UBFC-rPPG,0,6,-1
27,32,UBFC-rPPG,0,6,-1
28,3,UBFC-rPPG,0,6,-1
29,33,UBFC-rPPG,0,6,-1
30,16,UBFC-rPPG,0,7,-1
31,46,UBFC-rPPG,0,7,-1
32,12,UBFC-rPPG,0,0,-1
33,27,UBFC-rPPG,0,1,-1
34,18,UBFC-rPPG,0,1,-1
35,10,UBFC-rPPG,0,1,-1
36,43,UBFC-rPPG,0,1,-1
37,26,UBFC-rPPG,0,1,-1
38,49,UBFC-rPPG,0,1,-1
39,37,UBFC-rPPG,0,1,-1
40,48,UBFC-rPPG,0,1,-1
41,3,UBFC-PHYS,0,0,T1
42,3,UBFC-PHYS,0,0,T2
43,3,UBFC-PHYS,0,1,T3
44,4,UBFC-PHYS,1,1,T1
45,4,UBFC-PHYS,1,1,T2
46,4,UBFC-PHYS,1,1,T3
47,5,UBFC-PHYS,1,1,T1
48,5,UBFC-PHYS,1,1,T2
49,5,UBFC-PHYS,1,2,T3
50,6,UBFC-PHYS,1,2,T1
51,6,UBFC-PHYS,1,2,T2
